title,author,content
PHP内核之旅-2.SAPI中的Cli - jackson0714,jackson0714,PHP 内核之旅系列 PHP内核之旅-1.生命周期 PHP内核之旅-2.SAPI中的Cli PHP内核之旅-1.生命周期 PHP内核之旅-2.SAPI中的Cli 一、SAPI是什么？ 1.1 理解SAPI （1）SAPI是PHP框架的接口层。有很多种服务器的SAPI的实现，代码在sapi文件夹下。常
测试驱动开发 TDD - 乐途,乐途,一、详解TDD 1.1、TDD概念 ：Test Drived Develop 测试驱动开发是敏捷开发中的一项核心实践和技术，也是一种方法论。TDD的原理是在开发功能代码之前，编写单元测试用例代码，测试代码决定先编写什么产品代码。TDD虽是敏捷方法的核心实践，但不只是适用于XP，同样可以适用于其他开发
spirng底层实现原理 - 程序谈人生,程序谈人生,"什么是框架？框架解决的是什么问题？ 编程有一个准则，Don't Repeat Yourself(不要重复你的代码),所以我们会将重复的代码抽取出来，封装到方法中；如果封装的方法过多，将将这些方法封装成工具类；如果工具类形成了规模，就整合成类库。类库更加系统，功能更加齐全。既然别人已经造好了轮子，我们"
进程、应用程序域，线程和上下文之间的关系 - 天街小雨&,天街小雨&amp;,在处理多线程程序之前，还是需要复习一些基础知识的。 进程 简单来说，进程是一个运行的程序，用来描述一组资源（如外部代码库和主线程）和程序运行所必须的内存分配。对于每一个被加载到内存的 .exe，在他的生命周期中操作系统会为之创建一个单独且隔离的进程。 由于一个进程的失败不会影响其他进程，这种隔离的方
人脸姿态校正算法 附完整C++示例代码 - cpuimage,cpuimage,在一些特殊情况下，经常需要依据图像中的人脸，对图片进行倾斜矫正。 例如拍照角度幅度过大之类的情况，而进行人工矫正确实很叫人头大。 那是不是可以有一种算法，可以根据人脸的信息对图片进行角度的修复呢？ 答案肯定是确认的。 再次例如，想要通过人脸的特征对人物的表情和情绪进行精准判断， 那么这个时候如果能确
JAVAEE——BOS物流项目13：Quartz概述、创建定时任务、使用JavaMail发送邮件、HighCharts概述、实现区域分区分布图 - kent鹏,kent鹏,1 学习计划 1、Quartz概述 n Quartz介绍和下载 n 入门案例 n Quartz执行流程 n cron表达式 2、在BOS项目中使用Quartz创建定时任务 3、在BOS项目中使用JavaMail发送邮件 4、HighCharts概述 n HighCharts介绍 n 在线演示 5、基
[ SSH框架 ] Struts2框架学习之一 - Kevin.ZhangCG,Kevin.ZhangCG,一、Struts2框架的概述 Struts2是一种基于MVC模式的轻量级Web框架，它自问世以来，就受到了广大Web开发者的关注，并广泛应用于各种企业系统的开发中。目前掌握 Struts2框架几乎成为Wcb开发者的必备技能之一。 接下来将针对 Struts2的特点、安装以及执行流程等内容进行详细的讲
erlang进程概述 - Liquan2005,Liquan2005,一、概述 与大多数的进程相反，Erlang中的并发很廉价，派生出一个进程就跟面向对象的语言中分配一个对象的开销差不多。 在启动一个复杂的运算时，启动运算、派生进程以及返回结果后，所有进程神奇的烟消云散，它们的内存、邮箱、所持有的数据库句柄、它们打开的套接字，以及一些不乐意手工清理的东西，都一并消失。
谈谈我开发过的几套语音通信解决方案 - davidtym,davidtym,本人从事音频软件开发10+年，既开发过voice相关的，又开发过music相关的，但大多数还是开发voice相关的。掐指一算到现在在通信终端上开发过的语音解决方案共有五套，它们既有有线通信的，又有无线通信的；既有在上层开发的，又有在底层开发的；既有在ARM上开发的，又有在DSP上开发的，总之各有特色
2018春季实习生校招面经(一)阿里篇 - my笔触,my笔触,写在前头的概况 笔者末流985大三学渣一枚，追寻学长学姐的步伐，在2018年3月份踏上了寻找实习的漫漫征程。现在想起来，准备得还是有些晚了，也没有十万分重视，所以造成准备不足，据说有的小伙伴在寒假就开始准备了。所以插一句，早早准备很重要！！！ 笔者一共投递了16家企业，有纯互联网，有软件硬件结合，包
